Customer_ID,First_Name,Last_Name,Email,Phone,Age,Gender,Annual_Income,Address_Line_1,City,State,ZIP_Code,Country,Registration_Date,Account_Status,Subscription_Member,Marketing_Consent,Acquisition_Channel,Satisfaction_Score_1_10,Loyalty_Points_Balance
CUST-001041,Janet,Stewart,janet_stewart@gmail.com,696-841-4919,50,Female,144003,4599 Lake St,New Orleans,LA,70101,USA,2025-01-19,Active,No,Yes,Organic Search,7,7
CUST-001042,Catherine,Torres,catherine_torres@company.com,592-910-3503,42,Male,78591,3605 Oak Dr,El Paso,TX,79901,USA,2024-08-24,Active,No,Yes,Organic Search,7,5158
CUST-001043,Edward,Nelson,enelson@gmail.com,988-798-1320,57,Female,68429,9532 Washington Dr,Las Vegas,NV,89101,USA,2026-02-02,Inactive,No,Yes,Paid Social,4,37
CUST-001044,James,Rivera,jrivera@company.com,699-424-5471,20,Female,243054,7240 Lake St,Las Vegas,NV,89101,USA,2023-06-03,Active,No,No,TV/Print,9,158
CUST-001045,Deborah,Baker,deborah685@yahoo.com,837-746-1441,51,Female,28400,6555 Main St,Portland,OR,97201,USA,2022-05-18,Active,Yes,Yes,Referral,6,23
CUST-001046,Samuel,Diaz,sdiaz@hotmail.com,665-534-6529,47,Female,48466,6311 Cedar Dr,Jacksonville,FL,32201,USA,2026-02-27,Active,Yes,Yes,In-Store,7,346
CUST-001047,Steven,Hernandez,steven.hernandez@gmail.com,429-865-2124,41,Male,147803,759 Main Ave,Tampa,FL,33601,USA,2023-06-01,Active,No,Yes,Email Campaign,5,50
CUST-001048,Betty,Williams,bettywilliams@yahoo.com,423-676-5198,25,Male,88568,6143 Maple Ln,San Francisco,CA,94101,USA,2025-09-24,Active,No,Yes,Referral,8,14
CUST-001049,Nicole,Myers,nicole.myers@gmail.com,792-226-6111,35,Non-binary,90030,9533 Washington Dr,Wichita,KS,67201,USA,2021-11-05,Active,No,Yes,Organic Search,6,454
CUST-001050,Catherine,Sanchez,catherines@gmail.com,900-814-2983,18,Female,85178,9372 Main Blvd,Minneapolis,MN,55401,USA,2021-10-12,Inactive,No,Yes,Referral,2,3
CUST-001051,Jonathan,Diaz,jonathan_diaz@outlook.com,701-308-8102,37,Male,59304,6034 Lake Rd,Phoenix,AZ,85001,USA,2023-08-08,Active,No,Yes,Email Campaign,7,37
CUST-001052,Karen,Parker,karen181@hotmail.com,993-695-8616,47,Female,159411,7236 Cedar Blvd,Sacramento,CA,95801,USA,2022-10-16,Inactive,Yes,Yes,Paid Social,3,2
CUST-001053,Ashley,Lopez,alopez@gmail.com,588-544-1470,52,Male,75445,8198 Elm Ave,San Francisco,CA,94101,USA,2022-03-26,Active,No,No,Paid Social,6,135
CUST-001054,Gary,Ramirez,gary_ramirez@yahoo.com,395-287-4954,54,Male,90029,6758 Lake Ln,El Paso,TX,79901,USA,2024-11-14,Active,No,Yes,Referral,7,8
CUST-001055,Ruth,Walker,rwalker@gmail.com,295-501-4630,28,Female,107641,6725 Pine Blvd,Virginia Beach,VA,23451,USA,2022-06-13,Inactive,No,Yes,Referral,4,10
CUST-001056,Gregory,Howard,ghoward@yahoo.com,763-538-6764,39,Female,83321,7534 Cedar Blvd,Kansas City,MO,64101,USA,2023-06-18,Active,No,No,Referral,9,1401
CUST-001057,Steven,Robinson,steven124@yahoo.com,389-396-4545,55,Female,87954,8033 Cedar Rd,Fort Worth,TX,76101,USA,2024-09-01,Active,Yes,No,Referral,5,339
CUST-001058,Emma,Ross,emmar@outlook.com,383-509-1231,50,Male,36834,8851 Maple Blvd,Denver,CO,80201,USA,2025-11-16,Active,No,Yes,Referral,8,1971
CUST-001059,Jennifer,Miller,jennifer_miller@company.com,787-491-8690,56,Female,62854,7943 Lake Blvd,Minneapolis,MN,55401,USA,2025-09-24,Active,No,Yes,Affiliate,8,382
CUST-001060,Lisa,Miller,lmiller@yahoo.com,790-844-1878,58,Female,35011,2585 Maple Ln,San Diego,CA,92101,USA,2021-10-30,Active,No,No,Paid Social,5,99
CUST-001061,Joshua,Hernandez,joshua.hernandez@hotmail.com,431-994-9561,43,Male,39450,6332 Lake Dr,Kansas City,MO,64101,USA,2022-02-25,Active,Yes,Yes,Paid Social,8,160
CUST-001062,Joshua,Ramos,joshua_ramos@outlook.com,301-981-4404,28,Male,20089,3557 Cedar Rd,Atlanta,GA,30301,USA,2022-12-16,Active,Yes,Yes,Referral,3,34
CUST-001063,David,Lee,davidlee@outlook.com,905-808-8699,32,Male,282507,4871 Main Ave,Kansas City,MO,64101,USA,2026-01-07,Active,No,Yes,Email Campaign,6,360
CUST-001064,Andrew,Price,andrew290@gmail.com,803-877-4241,25,Male,29153,7065 Oak Ln,Milwaukee,WI,53201,USA,2026-01-15,Active,No,Yes,Referral,6,448
CUST-001065,Mark,Chavez,mark_chavez@hotmail.com,809-966-5728,50,Female,122033,7295 Oak Dr,San Jose,CA,95101,USA,2026-01-14,Active,Yes,Yes,Organic Search,5,14
CUST-001066,Frank,Hill,fhill@outlook.com,240-642-6280,38,Female,92526,9991 Cedar St,Seattle,WA,98101,USA,2023-08-20,Active,Yes,No,Paid Social,10,3462
CUST-001067,Barbara,Robinson,barbara985@gmail.com,475-790-1659,18,Male,68940,2970 Lake Ln,Atlanta,GA,30301,USA,2023-02-23,Active,No,Yes,Paid Social,3,86
CUST-001068,Katherine,Cruz,katherine_cruz@outlook.com,293-681-6700,28,Male,128600,6790 Elm Blvd,Jacksonville,FL,32201,USA,2023-02-27,Active,Yes,Yes,Referral,10,7274
CUST-001069,Christine,Wilson,christinewilson@gmail.com,978-763-1601,67,Male,83564,7551 Oak Blvd,El Paso,TX,79901,USA,2024-02-17,Inactive,No,Yes,In-Store,4,23
CUST-001070,Steven,Adams,sadams@yahoo.com,673-623-1888,45,Male,165791,3173 Elm Ln,Fresno,CA,93701,USA,2021-10-24,Active,No,No,Referral,5,9
CUST-001071,Dennis,Murphy,dmurphy@hotmail.com,494-648-8941,38,Male,93033,2089 Main Rd,New Orleans,LA,70101,USA,2026-02-24,Active,No,Yes,Affiliate,6,203
CUST-001072,Nicole,Walker,nicolewalker@icloud.com,430-316-8560,24,Female,48255,2024 Maple Dr,Washington,DC,20001,USA,2023-05-08,Active,Yes,No,Paid Social,7,6026
CUST-001073,Catherine,Nguyen,catherine522@outlook.com,667-764-3369,45,Male,45742,6384 Pine Ln,Seattle,WA,98101,USA,2024-02-10,Active,Yes,Yes,Affiliate,6,68
CUST-001074,Angela,Myers,angelamyers@gmail.com,473-202-5634,59,Female,193694,4991 Lake Ave,Phoenix,AZ,85001,USA,2024-11-21,Active,Yes,Yes,Email Campaign,8,27
CUST-001075,Laura,Morgan,laura_morgan@yahoo.com,393-914-4912,30,Male,195530,9468 Washington Ave,El Paso,TX,79901,USA,2023-05-06,Active,No,Yes,In-Store,9,16
CUST-001076,Maria,Evans,maria_evans@gmail.com,867-355-9115,46,Female,53077,706 Maple Ln,Tampa,FL,33601,USA,2023-10-15,Active,Yes,Yes,Organic Search,8,6
CUST-001077,Emma,Nelson,emma.nelson@aol.com,619-870-3529,33,Male,39781,1325 Lake Blvd,Baltimore,MD,21201,USA,2025-11-17,Active,No,Yes,Email Campaign,10,7651
CUST-001078,Carol,Richardson,crichardson@gmail.com,589-524-8994,33,Female,111393,8964 Main Ln,Virginia Beach,VA,23451,USA,2025-12-27,Active,No,Yes,Email Campaign,7,210
CUST-001079,William,Walker,william647@gmail.com,978-848-2646,59,Prefer not to say,35391,7369 Maple Rd,Denver,CO,80201,USA,2025-03-01,Active,No,Yes,Direct,7,1598
CUST-001080,Joshua,Brown,joshua_brown@yahoo.com,349-450-9702,43,Female,48604,6851 Maple Ave,Cleveland,OH,44101,USA,2026-02-15,Active,No,Yes,Email Campaign,5,88
CUST-001081,Daniel,Hernandez,dhernandez@gmail.com,346-437-8555,64,Male,60835,4261 Lake Blvd,Raleigh,NC,27601,USA,2022-08-10,Active,No,No,TV/Print,6,18
CUST-001082,Christine,Johnson,cjohnson@gmail.com,553-801-5901,26,Prefer not to say,60485,7051 Cedar Dr,Denver,CO,80201,USA,2022-08-22,Active,No,Yes,Affiliate,9,96
CUST-001083,Joshua,Sanchez,jsanchez@yahoo.com,502-916-5837,31,Female,83717,459 Washington Blvd,San Antonio,TX,78201,USA,2025-02-09,Active,Yes,No,Direct,10,3100
CUST-001084,Mary,Reed,mary886@outlook.com,708-493-4770,30,Male,32901,5872 Pine Rd,Wichita,KS,67201,USA,2022-04-06,Active,No,Yes,Paid Social,5,484
CUST-001085,Matthew,Richardson,matthew257@yahoo.com,861-240-6061,72,Female,37090,7322 Main Ln,New Orleans,LA,70101,USA,2022-05-25,Active,No,Yes,In-Store,6,462
CUST-001086,George,Sanders,george.sanders@aol.com,752-574-9697,43,Male,68917,8321 Cedar Ave,Denver,CO,80201,USA,2024-08-09,Active,No,No,Direct,8,24
CUST-001087,Steven,Morris,steven_morris@hotmail.com,277-344-4696,34,Male,63461,6611 Elm St,Tampa,FL,33601,USA,2021-07-23,Active,Yes,Yes,Paid Social,7,54
CUST-001088,Ronald,Johnson,ronaldj@protonmail.com,468-798-7242,57,Male,97228,6186 Oak Rd,San Diego,CA,92101,USA,2023-11-21,Inactive,No,Yes,Referral,5,75
CUST-001089,Sandra,Stewart,sandras@hotmail.com,675-917-5951,42,Male,33286,6789 Oak Ave,Kansas City,MO,64101,USA,2024-08-07,Active,Yes,Yes,Organic Search,6,28
CUST-001090,Jennifer,Jones,jjones@gmail.com,597-664-7078,49,Male,75538,8950 Washington Ln,San Diego,CA,92101,USA,2025-11-22,Active,Yes,Yes,Paid Social,8,2283
CUST-001091,Janet,Sanders,jsanders@gmail.com,233-906-7070,25,Female,104815,3659 Lake Dr,Virginia Beach,VA,23451,USA,2025-11-19,Active,No,Yes,Organic Search,8,6
CUST-001092,Donald,Campbell,donald102@hotmail.com,394-325-8450,32,Prefer not to say,70432,1601 Pine Rd,Detroit,MI,48201,USA,2023-05-21,Active,Yes,Yes,In-Store,7,11
CUST-001093,Samantha,Kim,samantha.kim@gmail.com,778-410-2124,33,Female,60993,9180 Pine Ln,Houston,TX,77001,USA,2022-01-10,Active,Yes,Yes,In-Store,7,19
CUST-001094,Margaret,Robinson,margaretrobinson@hotmail.com,333-753-5106,20,Female,126432,2958 Oak Rd,Cleveland,OH,44101,USA,2023-02-05,Active,No,Yes,Organic Search,5,20
CUST-001095,Patricia,Taylor,patricia_taylor@aol.com,378-471-1858,22,Male,63904,2176 Washington Ln,Cleveland,OH,44101,USA,2022-01-07,Active,No,No,Direct,6,36
CUST-001096,Joseph,Myers,jmyers@hotmail.com,662-715-4629,41,Female,65868,810 Cedar Dr,Baltimore,MD,21201,USA,2022-01-28,Active,Yes,Yes,Direct,7,8
CUST-001097,Samuel,Brown,sbrown@gmail.com,275-282-6277,21,Male,81635,2530 Oak Ave,Portland,OR,97201,USA,2024-01-18,Active,Yes,No,Direct,5,508
CUST-001098,Emily,Richardson,emilyr@protonmail.com,743-501-8433,28,Female,71785,8382 Washington St,Kansas City,MO,64101,USA,2022-06-12,Active,No,No,Organic Search,9,3353
CUST-001099,Rachel,Anderson,rachel874@yahoo.com,623-547-8430,35,Female,43007,6632 Washington Rd,Virginia Beach,VA,23451,USA,2021-07-08,Active,No,Yes,Paid Social,8,1744
CUST-001100,Richard,Green,richard_green@yahoo.com,685-268-2494,45,Female,82806,1498 Oak Dr,Omaha,NE,68101,USA,2025-01-03,Active,No,Yes,Referral,9,5252
CUST-001101,Richard,Myers,richard_myers@yahoo.com,775-537-3002,51,Male,54570,6830 Elm Rd,Dallas,TX,75201,USA,2023-04-27,Active,No,Yes,Referral,5,52
CUST-001102,Dennis,Diaz,dennis889@outlook.com,791-719-4485,45,Female,118148,2635 Lake Ave,Houston,TX,77001,USA,2024-10-28,Active,Yes,Yes,Organic Search,9,230
CUST-001103,Susan,Hall,susanh@hotmail.com,774-985-1430,70,Male,79373,4481 Main Ave,Detroit,MI,48201,USA,2025-10-17,Active,Yes,Yes,Organic Search,7,43
CUST-001104,Paul,Hughes,paul_hughes@gmail.com,779-873-7566,30,Male,159418,1240 Maple Rd,El Paso,TX,79901,USA,2024-06-21,Active,No,Yes,Organic Search,3,113
CUST-001105,Samantha,Brown,samantha94@gmail.com,361-578-6105,45,Female,47824,5414 Oak St,Sacramento,CA,95801,USA,2025-03-26,Active,Yes,Yes,Organic Search,8,329
CUST-001106,Karen,Lee,karenl@protonmail.com,634-697-8242,55,Female,46440,6885 Cedar Ave,Houston,TX,77001,USA,2022-08-29,Active,No,Yes,Organic Search,5,509
CUST-001107,Dennis,Rogers,dennis_rogers@outlook.com,698-739-6053,50,Female,152478,844 Pine Dr,Louisville,KY,40201,USA,2025-10-25,Active,Yes,No,Direct,7,23
CUST-001108,Scott,Davis,scottdavis@gmail.com,535-322-1126,42,Female,85918,8249 Washington Ave,Washington,DC,20001,USA,2025-04-03,Active,No,No,Referral,6,639
CUST-001109,Thomas,Carter,thomas546@gmail.com,243-646-1307,49,Male,64458,7632 Oak Blvd,Charlotte,NC,28201,USA,2023-08-20,Active,No,Yes,Paid Social,9,5237
CUST-001110,Pamela,Diaz,pdiaz@outlook.com,221-532-3815,38,Female,61939,7638 Elm St,Tulsa,OK,74101,USA,2022-11-06,Active,No,Yes,Direct,8,331
CUST-001111,Sharon,Wilson,swilson@aol.com,963-547-4630,53,Male,44882,5556 Maple St,Long Beach,CA,90801,USA,2024-03-11,Active,No,Yes,Direct,9,534
CUST-001112,Angela,Brooks,angelab@outlook.com,351-441-2684,44,Prefer not to say,33587,2499 Cedar Ave,Fresno,CA,93701,USA,2025-05-08,Inactive,No,Yes,Organic Search,3,17
CUST-001113,Daniel,Cox,daniel157@gmail.com,978-793-8354,53,Male,103439,9348 Elm Rd,Phoenix,AZ,85001,USA,2025-06-12,Active,No,Yes,Email Campaign,6,34
CUST-001114,Kenneth,Martin,kenneth.martin@outlook.com,257-560-9312,18,Female,76654,1315 Cedar Dr,Albuquerque,NM,87101,USA,2023-12-17,Active,No,No,Referral,7,13
CUST-001115,Laura,Jones,laura_jones@hotmail.com,593-673-1672,40,Male,35081,7468 Pine Blvd,Denver,CO,80201,USA,2026-01-03,Active,No,No,Organic Search,3,90
CUST-001116,Nicole,Stewart,nicolestewart@yahoo.com,931-286-9266,33,Female,104104,2927 Main Ave,Houston,TX,77001,USA,2023-11-30,Inactive,No,Yes,Paid Social,3,23
CUST-001117,Patrick,Cruz,patrickc@hotmail.com,596-618-6543,40,Female,73777,9895 Main Rd,Sacramento,CA,95801,USA,2023-01-08,Active,Yes,Yes,Organic Search,6,341
CUST-001118,Samuel,Nelson,samuel_nelson@protonmail.com,872-817-3463,21,Male,37654,5561 Oak Ln,San Antonio,TX,78201,USA,2023-04-24,Active,No,No,Paid Social,6,98
CUST-001119,Gregory,Jackson,gregory_jackson@yahoo.com,286-517-7171,50,Female,89610,5481 Maple Rd,Washington,DC,20001,USA,2022-10-05,Active,No,Yes,Referral,8,34
CUST-001120,Rachel,Patel,rachelp@gmail.com,571-516-3953,20,Female,155990,3609 Elm Dr,Philadelphia,PA,19101,USA,2022-10-25,Active,No,Yes,Referral,6,14
CUST-001121,Matthew,Lewis,matthewlewis@gmail.com,956-739-1618,63,Female,243690,5617 Maple Ln,Phoenix,AZ,85001,USA,2024-10-12,Active,No,No,Paid Social,3,57
CUST-001122,Timothy,Martin,timothymartin@hotmail.com,938-648-1715,30,Male,72982,6831 Elm Rd,Minneapolis,MN,55401,USA,2022-02-11,Active,Yes,No,Referral,9,382
CUST-001123,Raymond,Walker,rwalker@hotmail.com,516-680-4178,18,Male,118250,6126 Lake Dr,Raleigh,NC,27601,USA,2024-11-03,Active,Yes,Yes,Organic Search,10,2803
CUST-001124,Jerry,Torres,jtorres@gmail.com,819-341-5096,63,Prefer not to say,106775,954 Lake Blvd,Fresno,CA,93701,USA,2023-06-25,Active,No,Yes,Paid Social,8,505
CUST-001125,Stephen,Wilson,stephenw@outlook.com,660-725-3414,37,Male,85562,7267 Oak Ave,San Diego,CA,92101,USA,2024-11-03,Active,No,Yes,Email Campaign,5,187
CUST-001126,Laura,Hall,laura.hall@outlook.com,595-283-7142,35,Male,37355,3778 Main Blvd,Las Vegas,NV,89101,USA,2026-02-20,Active,Yes,No,Paid Social,6,91
CUST-001127,Richard,Alvarez,richard_alvarez@yahoo.com,912-342-8685,46,Male,66932,7449 Main St,Cleveland,OH,44101,USA,2025-08-14,Active,No,No,Organic Search,4,81
CUST-001128,John,Allen,johnallen@hotmail.com,443-508-2996,25,Male,15000,882 Pine Dr,Kansas City,MO,64101,USA,2022-05-12,Active,Yes,Yes,Email Campaign,10,2849
CUST-001129,Samantha,Richardson,samantha.richardson@yahoo.com,847-727-4963,54,Male,116642,2452 Cedar Dr,San Diego,CA,92101,USA,2021-09-30,Active,No,Yes,Direct,8,78
CUST-001130,James,Ward,jamesward@outlook.com,736-569-2108,40,Male,64718,8718 Main Dr,Atlanta,GA,30301,USA,2024-02-07,Active,Yes,No,Organic Search,6,548
CUST-001131,Jacob,Garcia,jgarcia@gmail.com,553-446-2698,37,Female,187374,9633 Elm Ave,Detroit,MI,48201,USA,2025-01-06,Active,Yes,Yes,Organic Search,5,489
CUST-001132,Jennifer,Rivera,jennifer_rivera@gmail.com,846-386-3209,18,Male,124296,1133 Lake St,Virginia Beach,VA,23451,USA,2025-06-16,Active,No,Yes,Referral,10,5045
CUST-001133,Donna,Sanchez,donnasanchez@protonmail.com,684-459-1599,51,Male,77501,3231 Cedar Blvd,Chicago,IL,60601,USA,2024-09-01,Active,No,Yes,Direct,7,441
CUST-001134,Maria,Miller,maria887@company.com,609-961-8204,53,Male,34455,6434 Elm Ave,El Paso,TX,79901,USA,2024-11-27,Inactive,No,Yes,In-Store,1,9
CUST-001135,Amy,Ruiz,amy_ruiz@outlook.com,640-816-3956,30,Male,60526,9037 Cedar Blvd,Sacramento,CA,95801,USA,2024-12-10,Active,Yes,Yes,Affiliate,5,553
CUST-001136,Susan,Hernandez,susan336@outlook.com,370-906-8272,27,Female,75887,5859 Lake St,Denver,CO,80201,USA,2024-09-20,Active,No,Yes,Referral,8,35
CUST-001137,Carolyn,Rivera,crivera@yahoo.com,615-572-9406,40,Female,44470,2721 Main Ave,Seattle,WA,98101,USA,2022-11-08,Active,Yes,No,Affiliate,5,7
CUST-001138,Nicole,Gray,ngray@outlook.com,575-570-7272,18,Female,39901,9393 Main Ln,Chicago,IL,60601,USA,2025-09-24,Active,No,Yes,Email Campaign,5,344
CUST-001139,Karen,Gray,karen_gray@hotmail.com,575-607-6150,32,Female,70591,4666 Pine St,Detroit,MI,48201,USA,2023-12-13,Inactive,Yes,Yes,Organic Search,1,5
CUST-001140,Patricia,Patel,ppatel@gmail.com,920-656-4515,43,Male,193843,4778 Lake Ave,Sacramento,CA,95801,USA,2024-04-08,Inactive,No,No,Affiliate,5,3
CUST-001141,Jessica,Moore,jessica.moore@gmail.com,527-883-6692,46,Female,71743,1163 Cedar Blvd,Baltimore,MD,21201,USA,2025-06-21,Active,Yes,Yes,Email Campaign,8,116
CUST-001142,Christopher,Alvarez,christopher727@icloud.com,405-342-4878,39,Male,350000,8194 Main Blvd,Miami,FL,33101,USA,2025-06-18,Active,No,No,Paid Social,7,9
CUST-001143,Stephen,Kelly,skelly@hotmail.com,516-607-8842,18,Female,82486,8712 Washington Dr,Kansas City,MO,64101,USA,2025-09-17,Active,No,Yes,Direct,9,101
CUST-001144,Pamela,Martinez,pamela_martinez@yahoo.com,552-331-3981,42,Male,121986,2214 Washington Ln,Virginia Beach,VA,23451,USA,2026-01-09,Active,No,No,Paid Social,8,305
CUST-001145,Linda,Thomas,lindathomas@aol.com,430-554-9501,38,Prefer not to say,97738,4753 Oak Blvd,Washington,DC,20001,USA,2025-07-07,Active,Yes,Yes,Organic Search,8,3189
