Customer_ID,First_Name,Last_Name,Email,Phone,Age,Gender,Annual_Income,Address_Line_1,City,State,ZIP_Code,Country,Registration_Date,Account_Status,Subscription_Member,Marketing_Consent,Acquisition_Channel,Satisfaction_Score_1_10,Loyalty_Points_Balance,Days_Since_Registration,total_orders,completed_orders,total_revenue,avg_order_value,max_order_value,min_order_value,first_order_date,last_order_date,total_items,total_discount_amt,avg_discount_pct,refunded_orders,cancelled_orders,preferred_channel,preferred_category,recency_days,customer_lifespan_days,refund_rate,cancel_rate,revenue_per_item,total_interactions,support_tickets,email_opens,email_clicks,web_visits,app_opens,avg_duration_mins,avg_int_satisfaction,last_interaction_date,preferred_int_channel,days_since_last_interaction,email_ctr
CUST-001010,Raymond,Anderson,raymonda@gmail.com,361-664-1053,55,Female,64318,4415 Maple Ln,New Orleans,LA,70101,USA,2024-12-10,Active,False,True,Organic Search,9.0,5868,547,103,83,35547.63,345.1226213592233,555.01,171.21,2025-08-02,2026-03-30,1040,677.94,2.087378640776699,8,7,Online,Books,72,240,0.07766990291262135,0.06796116504854369,34.18041346153846,192,23,48,26,26,25,7.864583333333333,3.0714285714285716,2026-06-10,Phone,0,0.5417
CUST-001011,Susan,Watson,susan306@company.com,752-997-9689,58,Female,193428,109 Elm Dr,Fresno,CA,93701,USA,2023-01-09,Inactive,True,True,Organic Search,2.0,14,1248,6,4,341.65999999999997,56.94333333333333,86.59,19.1,2022-10-30,2025-01-29,14,11.29,2.5,1,1,Mobile App,Food & Beverage,497,822,0.16666666666666666,0.16666666666666666,24.404285714285713,3,0,1,0,1,1,13.0,,2025-08-23,Web,291,0.0
CUST-001012,John,Anderson,john_anderson@gmail.com,280-287-8962,33,Male,149254,1233 Maple Ave,Washington,DC,20001,USA,2025-02-04,Inactive,False,False,In-Store,3.0,32,491,8,6,845.06,105.6325,138.99,61.1,2026-06-03,2026-06-09,22,10.03,1.25,0,2,Mobile App,Clothing,1,6,0.0,0.25,38.41181818181818,20,2,10,3,0,0,3.65,3.0,2026-06-09,Email,1,0.3
CUST-001013,Gregory,Stewart,gregorys@gmail.com,416-752-4295,61,Female,51924,5207 Washington Rd,Austin,TX,78701,USA,2024-12-14,Active,True,False,Organic Search,9.0,203,543,45,35,4710.21,104.67133333333334,176.97,61.68,2025-08-04,2026-04-12,117,99.91,2.111111111111111,1,6,Online,Health & Beauty,59,251,0.022222222222222223,0.13333333333333333,40.25820512820513,79,5,26,9,13,8,6.734177215189874,3.75,2026-06-09,Web,1,0.3462
CUST-001014,Katherine,Mitchell,katherinem@gmail.com,221-802-4770,75,Female,128373,9741 Pine St,Baltimore,MD,21201,USA,2025-10-05,Active,True,False,Paid Social,6.0,208,248,21,15,2221.63,105.79190476190476,175.72,60.91,2025-10-28,2026-04-14,55,38.08,2.142857142857143,1,3,Online,Books,57,168,0.047619047619047616,0.14285714285714285,40.39327272727273,93,9,24,12,18,7,7.376344086021505,2.25,2026-06-10,Social Media,0,0.5
CUST-001015,Elizabeth,Price,elizabeth.price@gmail.com,726-443-5562,46,Female,89381,8053 Pine Ln,Charlotte,NC,28201,USA,2026-01-22,Active,False,True,Paid Social,5.0,493,139,25,17,3004.55,120.182,178.61,54.96,2025-09-30,2026-03-24,85,56.08,2.2,2,3,Mobile App,Clothing,78,175,0.08,0.12,35.34764705882353,84,13,23,11,11,7,7.654761904761905,2.7142857142857144,2026-06-08,In-Store,2,0.4783
CUST-001016,Thomas,Castillo,thomasc@yahoo.com,394-296-2588,54,Female,41340,7162 Elm Dr,Atlanta,GA,30301,USA,2023-10-15,Active,True,True,Referral,6.0,195,969,18,11,1968.8999999999999,109.38333333333333,154.7,58.82,2024-05-10,2026-04-26,44,25.060000000000002,1.9444444444444444,2,4,Online,Home & Garden,45,716,0.1111111111111111,0.2222222222222222,44.74772727272727,62,5,12,11,11,5,7.806451612903226,3.5,2026-06-05,Social Media,5,0.9167
CUST-001017,Edward,Reyes,edward885@gmail.com,547-311-5073,41,Female,149198,3239 Pine Ln,Houston,TX,77001,USA,2022-08-30,Active,False,False,Paid Social,5.0,57,1380,12,10,525.5600000000001,43.796666666666674,66.9,26.59,2023-03-11,2026-03-14,14,1.76,0.4166666666666667,0,1,Online,Food & Beverage,88,1099,0.0,0.08333333333333333,37.540000000000006,60,4,18,13,4,6,4.466666666666667,2.5,2026-05-27,In-Store,14,0.7222
CUST-001018,Laura,Moore,lauramoore@outlook.com,653-763-2604,19,Female,96522,928 Main St,Seattle,WA,98101,USA,2023-11-05,Active,False,True,Affiliate,6.0,387,948,41,30,4807.82,117.26390243902438,173.8,51.05,2024-11-29,2026-06-01,126,41.71,1.0975609756097562,3,3,Online,Automotive,9,549,0.07317073170731707,0.07317073170731707,38.15730158730158,74,10,21,9,14,4,7.405405405405405,3.0,2026-05-26,Web,15,0.4286
CUST-001019,Dennis,Walker,dwalker@aol.com,368-588-1035,53,Female,99147,6496 Cedar Dr,Tucson,AZ,85701,USA,2023-09-28,Active,False,True,Direct,6.0,149,986,11,6,1195.6200000000001,108.69272727272728,168.18,54.05,2025-12-02,2026-04-03,35,25.33,1.8181818181818181,2,1,Online,Electronics,68,122,0.18181818181818182,0.09090909090909091,34.16057142857143,108,8,27,28,9,11,6.87962962962963,3.4,2026-06-10,Web,0,1.037
CUST-001020,Andrew,Diaz,andrew714@gmail.com,422-259-9883,36,Female,44349,1098 Elm St,Cleveland,OH,44101,USA,2023-04-28,Active,True,False,Affiliate,8.0,66,1139,13,13,649.51,49.96230769230769,69.03,22.55,2022-11-25,2026-05-01,18,0.0,0.0,0,0,Mobile App,Food & Beverage,40,1253,0.0,0.0,36.083888888888886,43,5,13,5,9,2,8.488372093023257,3.6,2026-05-17,Email,24,0.3846
CUST-001021,Michael,Howard,michaelh@yahoo.com,390-270-2113,44,Female,75196,3953 Washington St,Sacramento,CA,95801,USA,2025-07-22,Active,True,True,Email Campaign,7.0,3311,323,55,39,18753.22,340.96763636363636,531.21,176.85,2025-01-15,2026-04-12,627,151.05,0.9090909090909091,9,2,Online,Food & Beverage,59,452,0.16363636363636364,0.03636363636363636,29.909441786283892,74,9,21,12,9,4,6.4324324324324325,2.857142857142857,2026-06-04,In-Store,6,0.5714
CUST-001022,Larry,Young,larryy@hotmail.com,778-735-6183,45,Female,57478,4372 Pine Rd,Chicago,IL,60601,USA,2022-12-19,Active,False,True,Referral,5.0,398,1269,48,34,5483.3,114.23541666666667,174.3,55.46,2023-10-08,2026-03-28,155,23.23,0.5208333333333334,3,5,Online,Home & Garden,74,902,0.0625,0.10416666666666667,35.37612903225806,43,4,6,7,7,4,6.72093023255814,,2026-05-31,Phone,10,1.1667
CUST-001023,Catherine,Green,catherine_green@icloud.com,274-209-8508,35,Male,82162,9324 Oak St,Portland,OR,97201,USA,2025-09-14,Active,False,True,Email Campaign,7.0,466,269,22,14,2358.05,107.18409090909091,172.98,55.66,2022-08-27,2026-05-18,61,22.95,0.9090909090909091,3,2,Mobile App,Health & Beauty,23,1360,0.13636363636363635,0.09090909090909091,38.65655737704918,88,15,20,9,16,10,9.625,3.0,2026-04-16,Social Media,55,0.45
CUST-001024,Jonathan,Ramirez,jonathan_ramirez@gmail.com,491-361-8179,35,Female,78958,9000 Cedar Ln,Dallas,TX,75201,USA,2024-06-25,Active,False,False,Direct,5.0,20,715,4,3,171.93,42.9825,68.7,19.85,2023-04-13,2026-05-06,4,0.0,0.0,1,0,Mobile App,Clothing,35,1119,0.25,0.0,42.9825,36,5,9,5,3,2,5.5,4.0,2026-04-21,Social Media,50,0.5556
CUST-001025,Katherine,Ortiz,katherine9@gmail.com,470-318-2753,63,Female,70301,9164 Maple Blvd,Kansas City,MO,64101,USA,2024-10-04,Active,False,True,In-Store,5.0,29,614,2,1,198.29000000000002,99.14500000000001,114.26,84.03,2024-02-18,2026-06-06,6,4.1,2.5,0,1,Online,Electronics,4,839,0.0,0.5,33.04833333333334,17,1,8,2,3,0,4.294117647058823,3.0,2026-02-03,Email,127,0.25
CUST-001026,Andrew,Cox,andrew216@yahoo.com,252-294-7939,24,Female,65732,4633 Main St,El Paso,TX,79901,USA,2025-04-19,Active,False,True,Organic Search,7.0,288,417,22,16,2392.43,108.74681818181817,157.96,55.48,2024-02-21,2026-06-07,62,45.77,1.5909090909090908,1,2,Mobile App,Health & Beauty,3,837,0.045454545454545456,0.09090909090909091,38.58758064516129,108,13,30,13,12,6,7.564814814814815,3.2222222222222223,2026-05-29,In-Store,12,0.4333
CUST-001027,Kevin,Foster,kevin134@outlook.com,774-209-2832,24,Female,123435,1332 Maple Ln,Indianapolis,IN,46201,USA,2025-07-14,Active,True,True,TV/Print,8.0,41,331,4,3,198.48,49.62,62.79,20.69,2025-11-28,2026-04-06,4,0.0,0.0,1,0,Online,Automotive,65,129,0.25,0.0,49.62,58,9,20,6,6,4,7.586206896551724,3.5,2026-06-07,Social Media,3,0.3
CUST-001028,Robert,Mitchell,robertm@yahoo.com,240-566-4441,24,Male,198011,4188 Oak Blvd,San Jose,CA,95101,USA,2024-01-11,Active,False,True,Affiliate,6.0,28,881,19,15,967.22,50.90631578947369,69.74,30.67,2023-08-30,2026-05-01,24,0.0,0.0,0,3,Online,Electronics,40,975,0.0,0.15789473684210525,40.30083333333334,43,6,6,5,5,2,7.325581395348837,2.0,2026-06-09,Phone,1,0.8333
CUST-001029,Maria,Bailey,mbailey@gmail.com,366-381-7755,24,Female,173904,506 Maple Rd,Raleigh,NC,27601,USA,2022-03-28,Active,False,False,Organic Search,8.0,3926,1535,88,67,30771.51,349.67625,543.24,166.83,2023-01-20,2026-04-01,949,543.13,1.9886363636363635,7,10,Online,Food & Beverage,70,1167,0.07954545454545454,0.11363636363636363,32.42519494204426,276,36,64,39,49,19,8.134057971014492,2.7083333333333335,2026-06-03,Email,7,0.6094
CUST-001030,Kevin,Evans,kevin822@aol.com,310-591-1634,51,Female,112817,7811 Pine Ave,Tampa,FL,33601,USA,2021-11-22,Active,False,True,Organic Search,6.0,12,1661,7,5,299.9,42.84285714285714,70.69,24.23,2024-12-09,2026-05-30,9,9.43,5.0,1,1,Online,Sports,11,537,0.14285714285714285,0.14285714285714285,33.32222222222222,47,9,12,6,5,4,8.553191489361701,4.0,2026-06-10,Social Media,0,0.5
CUST-001031,Ryan,Hall,ryanhall@gmail.com,271-991-5573,44,Female,111904,5853 Washington Rd,Charlotte,NC,28201,USA,2026-04-22,Active,False,True,Organic Search,6.0,204,49,49,38,5419.54,110.60285714285715,164.0,51.43,2025-12-04,2026-04-13,144,122.14,2.2448979591836733,2,4,Online,Clothing,58,130,0.04081632653061224,0.08163265306122448,37.63569444444445,112,18,32,17,20,8,9.241071428571429,3.5625,2026-06-10,In-Store,0,0.5312
CUST-001032,Jonathan,Nelson,jonathan.nelson@outlook.com,239-311-8119,22,Female,60496,5763 Elm Dr,San Diego,CA,92101,USA,2021-07-09,Active,True,True,Paid Social,9.0,1195,1797,107,78,37487.84,350.3536448598131,556.73,157.36,2023-05-20,2026-03-19,1106,564.63,1.588785046728972,11,8,Online,Books,83,1034,0.102803738317757,0.07476635514018691,33.89497287522604,115,13,30,17,18,11,7.504347826086956,3.8333333333333335,2026-05-01,Web,40,0.5667
CUST-001033,Nicole,Rogers,nrogers@hotmail.com,201-732-9821,35,Male,23535,3328 Elm Dr,Atlanta,GA,30301,USA,2025-05-16,Inactive,True,True,Email Campaign,3.0,11,390,1,1,42.04,42.04,42.04,42.04,2024-09-04,2024-09-04,1,0.0,0.0,0,0,Online,Health & Beauty,644,0,0.0,0.0,42.04,2,1,0,0,1,0,17.0,4.0,2025-08-21,Social Media,293,0.0
CUST-001034,William,Bennett,william_bennett@outlook.com,719-516-7691,56,Female,37942,5444 Washington Rd,Raleigh,NC,27601,USA,2024-09-05,Inactive,False,True,Email Campaign,1.0,0,643,1,1,56.65,56.65,56.65,56.65,2025-03-16,2025-03-16,1,0.0,0.0,0,0,Online,Electronics,451,0,0.0,0.0,56.65,16,4,3,0,2,4,11.0625,3.5,2026-04-28,Social Media,43,0.0
CUST-001035,Donna,Peterson,donnapeterson@gmail.com,830-782-5930,41,Female,36496,6753 Main Blvd,Las Vegas,NV,89101,USA,2022-09-17,Inactive,False,True,Paid Social,6.0,64,1362,11,6,967.22,87.92909090909092,134.61,43.04,2024-12-23,2026-03-05,29,30.259999999999998,3.1818181818181817,1,1,Online,Clothing,97,437,0.09090909090909091,0.09090909090909091,33.35241379310345,13,1,4,1,4,1,7.6923076923076925,2.0,2026-04-29,Mobile App,42,0.25
CUST-001036,Andrew,Clark,andrewc@yahoo.com,891-418-9375,38,Male,48572,7852 Maple Rd,Colorado Springs,CO,80901,USA,2022-10-08,Active,True,True,Organic Search,7.0,144,1341,49,40,5532.97,112.91775510204081,174.77,56.7,2025-03-15,2026-04-25,140,93.55,2.0408163265306123,3,2,Online,Electronics,46,406,0.061224489795918366,0.04081632653061224,39.52121428571429,69,11,16,11,8,3,7.478260869565218,3.4,2026-05-28,Mobile App,13,0.6875
CUST-001037,David,Torres,david528@outlook.com,440-888-6085,55,Male,106296,3780 Pine Ave,Miami,FL,33101,USA,2022-12-19,Active,True,True,Referral,9.0,5314,1269,48,37,16289.16,339.3575,497.57,193.58,2022-09-01,2026-04-13,521,290.64,1.875,3,4,Online,Food & Beverage,58,1320,0.0625,0.08333333333333333,31.26518234165067,128,18,36,20,14,11,7.2734375,3.3,2026-05-11,In-Store,30,0.5556
CUST-001038,Patricia,Garcia,pgarcia@outlook.com,789-399-7291,42,Female,49604,8199 Washington Ave,Raleigh,NC,27601,USA,2021-09-03,Active,False,True,Direct,5.0,5,1741,1,1,85.55,85.55,85.55,85.55,2026-05-26,2026-05-26,2,0.0,0.0,0,0,Online,Health & Beauty,15,0,0.0,0.0,42.775,20,2,2,4,3,2,7.2,2.0,2026-05-25,Email,16,2.0
CUST-001039,Charles,Wood,charles.wood@gmail.com,380-912-9486,43,Female,129325,7711 Main Ln,New Orleans,LA,70101,USA,2021-08-12,Active,False,True,Email Campaign,5.0,354,1763,7,4,710.71,101.53,124.87,54.31,2026-06-06,2026-06-10,21,0.0,0.0,2,1,Online,Sports,0,4,0.2857142857142857,0.14285714285714285,33.843333333333334,98,16,24,18,9,11,7.989795918367347,2.75,2026-06-10,In-Store,0,0.75
CUST-001040,Ashley,Thomas,ashleythomas@hotmail.com,827-936-9270,32,Female,54702,7091 Lake Ave,Milwaukee,WI,53201,USA,2022-09-11,Active,True,False,Paid Social,9.0,7589,1368,39,29,14744.66,378.06820512820514,527.02,188.67,2022-07-08,2026-04-11,436,284.3,1.9230769230769231,3,1,Online,Health & Beauty,60,1373,0.07692307692307693,0.02564102564102564,33.81802752293578,151,21,39,28,19,11,8.092715231788079,2.9444444444444446,2026-06-06,In-Store,4,0.7179
CUST-001041,Janet,Stewart,janet_stewart@gmail.com,696-841-4919,50,Female,144003,4599 Lake St,New Orleans,LA,70101,USA,2025-01-19,Active,False,True,Organic Search,7.0,7,507,5,3,245.83,49.166000000000004,66.59,36.5,2024-04-13,2026-04-06,6,5.15,3.0,0,0,Online,Health & Beauty,65,723,0.0,0.0,40.97166666666667,41,5,8,4,6,5,6.658536585365853,2.6666666666666665,2026-05-15,Email,26,0.5
CUST-001042,Catherine,Torres,catherine_torres@company.com,592-910-3503,42,Male,78591,3605 Oak Dr,El Paso,TX,79901,USA,2024-08-24,Active,False,True,Organic Search,7.0,5158,655,104,78,34337.35,330.1668269230769,544.5,143.14,2025-04-09,2026-04-09,1109,851.16,2.8846153846153846,10,6,Online,Automotive,62,365,0.09615384615384616,0.057692307692307696,30.96244364292155,150,15,37,24,21,11,7.1,3.4444444444444446,2026-06-09,In-Store,1,0.6486
CUST-001043,Edward,Nelson,enelson@gmail.com,988-798-1320,57,Female,68429,9532 Washington Dr,Las Vegas,NV,89101,USA,2026-02-02,Inactive,False,True,Paid Social,4.0,37,128,12,9,1171.34,97.61166666666666,124.93,59.38,2023-04-03,2025-12-25,29,23.83,2.0833333333333335,1,1,Mobile App,Home & Garden,167,997,0.08333333333333333,0.08333333333333333,40.39103448275862,11,4,4,1,1,0,13.545454545454545,3.3333333333333335,2026-05-08,Phone,33,0.25
CUST-001044,James,Rivera,jrivera@company.com,699-424-5471,20,Female,243054,7240 Lake St,Las Vegas,NV,89101,USA,2023-06-03,Active,False,False,TV/Print,9.0,158,1103,13,11,1320.21,101.55461538461539,146.18,59.44,2026-04-20,2026-06-02,31,9.11,1.1538461538461537,0,1,Online,Health & Beauty,8,43,0.0,0.07692307692307693,42.58741935483871,28,3,6,5,3,2,6.285714285714286,4.0,2026-06-10,Phone,0,0.8333
CUST-001045,Deborah,Baker,deborah685@yahoo.com,837-746-1441,51,Female,28400,6555 Main St,Portland,OR,97201,USA,2022-05-18,Active,True,True,Referral,6.0,23,1484,2,1,111.71000000000001,55.855000000000004,55.97,55.74,2023-09-18,2026-05-28,3,0.0,0.0,0,1,In-Store,Clothing,13,983,0.0,0.5,37.23666666666667,6,0,3,1,1,0,5.0,,2026-03-18,Email,84,0.3333
CUST-001046,Samuel,Diaz,sdiaz@hotmail.com,665-534-6529,47,Female,48466,6311 Cedar Dr,Jacksonville,FL,32201,USA,2026-02-27,Active,True,True,In-Store,7.0,346,103,21,16,2036.78,96.9895238095238,164.15,54.19,2021-12-24,2026-04-25,54,44.129999999999995,2.142857142857143,0,2,Online,Books,46,1583,0.0,0.09523809523809523,37.718148148148146,98,11,23,19,15,6,7.5,2.8,2026-05-09,In-Store,32,0.8261
CUST-001047,Steven,Hernandez,steven.hernandez@gmail.com,429-865-2124,41,Male,147803,759 Main Ave,Tampa,FL,33601,USA,2023-06-01,Active,False,True,Email Campaign,5.0,50,1105,20,18,984.6800000000001,49.234,63.18,30.07,2022-09-27,2026-04-13,27,1.02,0.25,0,0,Online,Home & Garden,58,1294,0.0,0.0,36.46962962962963,37,8,13,5,4,2,8.675675675675675,3.8,2026-06-10,Phone,0,0.3846
CUST-001048,Betty,Williams,bettywilliams@yahoo.com,423-676-5198,25,Male,88568,6143 Maple Ln,San Francisco,CA,94101,USA,2025-09-24,Active,False,True,Referral,8.0,14,259,7,5,272.21,38.887142857142855,50.06,24.24,2022-05-29,2026-03-18,9,11.59,2.857142857142857,0,2,Mobile App,Electronics,84,1389,0.0,0.2857142857142857,30.245555555555555,38,2,8,7,8,4,7.105263157894737,4.0,2025-12-14,Social Media,178,0.875
CUST-001049,Nicole,Myers,nicole.myers@gmail.com,792-226-6111,35,Non-binary,90030,9533 Washington Dr,Wichita,KS,67201,USA,2021-11-05,Active,False,True,Organic Search,6.0,454,1678,10,7,1208.15,120.81500000000001,174.21,56.97,2025-02-22,2026-05-30,35,24.52,2.0,2,1,Online,Clothing,11,462,0.2,0.1,34.518571428571434,42,9,8,4,9,2,10.738095238095237,3.0,2026-05-05,Social Media,36,0.5
CUST-001050,Catherine,Sanchez,catherines@gmail.com,900-814-2983,18,Female,85178,9372 Main Blvd,Minneapolis,MN,55401,USA,2021-10-12,Inactive,False,True,Referral,2.0,3,1702,4,4,264.13,66.0325,90.76,55.89,2026-02-14,2026-03-13,5,0.0,0.0,0,0,In-Store,Clothing,89,27,0.0,0.0,52.826,2,0,1,1,0,0,4.0,,2026-06-06,Phone,4,1.0
CUST-001051,Jonathan,Diaz,jonathan_diaz@outlook.com,701-308-8102,37,Male,59304,6034 Lake Rd,Phoenix,AZ,85001,USA,2023-08-08,Active,False,True,Email Campaign,7.0,37,1037,1,0,92.24,92.24,92.24,92.24,2026-05-31,2026-05-31,2,0.0,0.0,0,0,Mobile App,Automotive,10,0,0.0,0.0,46.12,12,1,3,1,1,2,4.833333333333333,5.0,2026-06-06,Email,4,0.3333
CUST-001052,Karen,Parker,karen181@hotmail.com,993-695-8616,47,Female,159411,7236 Cedar Blvd,Sacramento,CA,95801,USA,2022-10-16,Inactive,True,True,Paid Social,3.0,2,1333,13,11,711.58,54.73692307692308,102.03,29.36,2023-11-13,2025-02-03,17,8.59,1.9230769230769231,2,0,Online,Sports,492,448,0.15384615384615385,0.0,41.85764705882353,15,1,2,3,3,2,8.2,3.0,2026-01-05,Email,156,1.5
CUST-001053,Ashley,Lopez,alopez@gmail.com,588-544-1470,52,Male,75445,8198 Elm Ave,San Francisco,CA,94101,USA,2022-03-26,Active,False,False,Paid Social,6.0,135,1537,26,19,2352.89,90.49576923076923,144.18,56.85,2022-01-18,2026-02-19,62,24.33,1.1538461538461537,2,1,Online,Clothing,111,1493,0.07692307692307693,0.038461538461538464,37.949838709677415,33,2,12,6,4,2,4.575757575757576,1.0,2026-06-08,Email,2,0.5
CUST-001054,Gary,Ramirez,gary_ramirez@yahoo.com,395-287-4954,54,Male,90029,6758 Lake Ln,El Paso,TX,79901,USA,2024-11-14,Active,False,True,Referral,7.0,8,573,15,11,625.28,41.68533333333333,64.85,21.13,2025-09-08,2026-05-20,19,7.37,1.3333333333333333,3,0,Online,Food & Beverage,21,254,0.2,0.0,32.909473684210525,37,6,9,5,6,4,8.972972972972974,4.4,2026-06-06,Social Media,4,0.5556
CUST-001055,Ruth,Walker,rwalker@gmail.com,295-501-4630,28,Female,107641,6725 Pine Blvd,Virginia Beach,VA,23451,USA,2022-06-13,Inactive,False,True,Referral,4.0,10,1458,3,3,141.49,47.163333333333334,57.66,37.77,2024-01-04,2025-12-03,3,0.0,0.0,0,0,Online,Sports,189,699,0.0,0.0,47.163333333333334,10,1,4,2,1,0,6.1,5.0,2026-03-12,In-Store,90,0.5
CUST-001056,Gregory,Howard,ghoward@yahoo.com,763-538-6764,39,Female,83321,7534 Cedar Blvd,Kansas City,MO,64101,USA,2023-06-18,Active,False,False,Referral,9.0,1401,1088,82,62,28930.27,352.8081707317073,538.74,165.2,2022-01-25,2026-04-11,919,606.26,1.951219512195122,5,12,Online,Clothing,60,1537,0.06097560975609756,0.14634146341463414,31.480163220892276,55,8,10,7,6,6,7.654545454545454,3.0,2026-04-15,Phone,56,0.7
CUST-001057,Steven,Robinson,steven124@yahoo.com,389-396-4545,55,Female,87954,8033 Cedar Rd,Fort Worth,TX,76101,USA,2024-09-01,Active,True,False,Referral,5.0,339,647,25,23,2685.68,107.4272,157.0,56.78,2023-06-24,2026-05-11,78,30.39,1.0,0,2,Online,Home & Garden,30,1052,0.0,0.08,34.43179487179487,113,13,30,15,20,9,9.584070796460177,3.272727272727273,2026-06-04,Web,6,0.5
